23:47:36  |  Core  |  Info  |  * Shutdown: FontManager  |  .\src\MyGUI_FontManager.cpp  |  64
23:47:36  |  Core  |  Info  |  FontManager successfully shutdown  |  .\src\MyGUI_FontManager.cpp  |  72
23:47:36  |  Core  |  Info  |  * Shutdown: ControllerManager  |  .\src\MyGUI_ControllerManager.cpp  |  62
23:47:36  |  Core  |  Info  |  ControllerManager successfully shutdown  |  .\src\MyGUI_ControllerManager.cpp  |  71
23:47:36  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  .\src\MyGUI_ClipboardManager.cpp  |  108
23:47:36  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  .\src\MyGUI_ClipboardManager.cpp  |  110
23:47:36  |  Core  |  Info  |  * Shutdown: LayoutManager  |  .\src\MyGUI_LayoutManager.cpp  |  57
23:47:36  |  Core  |  Info  |  LayoutManager successfully shutdown  |  .\src\MyGUI_LayoutManager.cpp  |  64
23:47:36  |  Core  |  Info  |  * Shutdown: PluginManager  |  .\src\MyGUI_PluginManager.cpp  |  56
23:47:36  |  Core  |  Info  |  PluginManager successfully shutdown  |  .\src\MyGUI_PluginManager.cpp  |  61
23:47:36  |  Core  |  Info  |  * Shutdown: DynLibManager  |  .\src\MyGUI_DynLibManager.cpp  |  52
23:47:36  |  Core  |  Info  |  DynLibManager successfully shutdown  |  .\src\MyGUI_DynLibManager.cpp  |  59
23:47:36  |  Core  |  Info  |  * Shutdown: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  56
23:47:36  |  Core  |  Info  |  LanguageManager successfully shutdown  |  .\src\MyGUI_LanguageManager.cpp  |  60
23:47:36  |  Core  |  Info  |  * Shutdown: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  62
23:47:36  |  Core  |  Info  |  ResourceManager successfully shutdown  |  .\src\MyGUI_ResourceManager.cpp  |  72
23:47:36  |  Core  |  Info  |  * Shutdown: FactoryManager  |  .\src\MyGUI_FactoryManager.cpp  |  49
23:47:36  |  Core  |  Info  |  FactoryManager successfully shutdown  |  .\src\MyGUI_FactoryManager.cpp  |  51
23:47:36  |  Core  |  Info  |  * Shutdown: ToolTipManager  |  .\src\MyGUI_ToolTipManager.cpp  |  67
23:47:36  |  Core  |  Info  |  ToolTipManager successfully shutdown  |  .\src\MyGUI_ToolTipManager.cpp  |  72
23:47:36  |  Core  |  Info  |  * Shutdown: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  106
23:47:36  |  Core  |  Info  |  WidgetManager successfully shutdown  |  .\src\MyGUI_WidgetManager.cpp  |  115
23:47:36  |  Core  |  Info  |  Gui successfully shutdown  |  .\src\MyGUI_Gui.cpp  |  194
23:47:36  |  Platform  |  Info  |  * Shutdown: RenderManager  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  61
23:47:36  |  Platform  |  Info  |  RenderManager successfully shutdown  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXRenderManager.cpp  |  66
23:47:36  |  Platform  |  Info  |  * Shutdown: DataManager  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXDataManager.cpp  |  33
23:47:36  |  Platform  |  Info  |  DataManager successfully shutdown  |  .\DirectX\DirectXPlatform\src\MyGUI_DirectXDataManager.cpp  |  35
